,Price,Address,Beds,Area,Full Baths,Half Baths,Lot SIze
0,"$452,900","1003 Winchester Blvd. Rock Springs, WY 82901",4,No Data Available,4,No Data Available,0.21 Acres
1,"$396,900","600 Talladega Rock Springs, WY 82901",5,"3,154",3,No Data Available,
2,"$389,900","3239 Spearhead Way Rock Springs, WY 82901",4,"3,076",3,1,"Under 1/2 Acre, "
3,"$254,000","522 Emerald Street Rock Springs, WY 82901",3,"1,172",3,No Data Available,"Under 1/2 Acre, "
4,"$252,900","1302 Veteran's Drive Rock Springs, WY 82901",4,"1,932",2,No Data Available,0.27 Acres
5,"$210,000","1021 Cypress Cir Rock Springs, WY 82901",4,"1,676",3,No Data Available,"Under 1/2 Acre, "
6,"$209,000","913 Madison Dr Rock Springs, WY 82901",3,"1,344",2,No Data Available,"Under 1/2 Acre, "
7,"$199,900","1344 Teton Street Rock Springs, WY 82901",3,"1,920",2,No Data Available,"Under 1/2 Acre, "
8,"$196,900","4 Minnies Lane Rock Springs, WY 82901",3,"1,664",2,No Data Available,2.02 Acres
9,"$1,100,000","RR674P13 Hwy 377 Rocksprings, TX 78880",No Data Available,"2,000",No Data Available,No Data Available,
10,"$1,080,000","0 Hwy 41 Rocksprings, TX 78880",No Data Available,No Data Available,No Data Available,No Data Available,
11,"$908,350","9339 Sd 26900 Rocksprings, TX 78880",No Data Available,"2,560",No Data Available,No Data Available,
12,"$905,000","CR450 Hwy 377 Rocksprings, TX 78880",No Data Available,No Data Available,No Data Available,No Data Available,
13,"$695,000","Cr 240 Cr 240 Rocksprings, TX 78880",No Data Available,"1,398",No Data Available,No Data Available,
14,"$605,000","RR674 Hwy 377 Rocksprings, TX 78880",No Data Available,"1,738",No Data Available,No Data Available,
15,"$559,805","9770a Sd 26900 Rocksprings, TX 78880",No Data Available,"1,080",No Data Available,No Data Available,
16,"$504,000","Lot17 CR 2630 Rocksprings, TX 78880",No Data Available,No Data Available,No Data Available,No Data Available,
17,"$410,000","Tr12,16 CR 520 Rocksprings, TX 78880",No Data Available,No Data Available,No Data Available,No Data Available,
18,"$167,500","32750 S Shangrila Drive Black Canyon City, AZ 85324",3,"2,120",2,No Data Available,
19,"$150,000","0000 Black Canyon Highway Black Canyon City, AZ 85324",No Data Available,No Data Available,No Data Available,No Data Available,5 Acres
20,"$129,500","34775 S CHOLLA Drive Black Canyon City, AZ 85324",3,"1,220",2,No Data Available,
21,"$129,000","33403 S. HA-WA-SI TERRACE BLACK CANYON CITY, AZ 85324",4,"2,000",2,No Data Available,
22,"$80,000","34263 S Bertha Street Black Canyon City, AZ 85324",5,"2,260",2,No Data Available,
23,"$77,900","33160 S Canyon Road Black Canyon City, AZ 85324",3,"1,248",2,No Data Available,
24,"$70,500","19421 E Todd Evans Road Black Canyon City, AZ 85324",3,"1,404",2,No Data Available,
25,"$70,000","18688 E AGUA Vista Black Canyon City, AZ 85324",No Data Available,No Data Available,No Data Available,No Data Available,0.7 Acres
26,"$67,500","50600 N Old Black Canyon Road Black Canyon City, AZ 85324",No Data Available,No Data Available,No Data Available,No Data Available,3 Acres
27,"$54,900","20101 E SQUAW VALLEY Road Black Canyon City, AZ 85324",No Data Available,No Data Available,No Data Available,No Data Available,
28,"$45,600","33259 S Canyon Road Black Canyon City, AZ 85324",3,"1,056",1,No Data Available,
29,"$40,000","34558 S ROADRUNNER RD Black Canyon City, AZ 85324",2,784,1,No Data Available,Under 1/2 Acre
30,"$30,000","19260 E Scenic Loop Road Black Canyon City, AZ 85324",No Data Available,No Data Available,No Data Available,No Data Available,2.35 Acres
31,"$29,000","19000 E MAREN Avenue Black Canyon City, AZ 85324",No Data Available,No Data Available,No Data Available,No Data Available,2.05 Acres
32,"$28,995","19350 E SAGUARO Drive Black Canyon City, AZ 85324",No Data Available,No Data Available,No Data Available,No Data Available,0.73 Acres
33,"$15,000","20650 E Amethyst Place Black Canyon City, AZ 85324",No Data Available,No Data Available,No Data Available,No Data Available,0.31 Acres
